title,brand,rating,reviews,price,image_url,product_url,sponsored
"Storescent Hidden Fruit Bunny Soft Toys for Kids, Stuffed Animal Plush Soft Toys for Boys and Girls | Medium, Cute Rabbit Strawberry Bunny - Zipper Plush Toy",Sponsored,4.1,1740,499,https://m.media-amazon.com/images/I/51yj-VutekL._AC_UL320_.jpg,N/A,TRUE
"CozyHug Weighted Plushie – Your Warm, Comforting Buddy for Stress-Free Days & Restful Nights! (Purple)",Sponsored,0,1799,1799,https://m.media-amazon.com/images/I/51jj6TkyJhL._AC_UL320_.jpg,N/A,TRUE
BABY FOREST Cuddly Buddies Giraffe Girl Soft Toy | Handmade Animal Soft Toy | Ultra Soft Fabric | Ideal Gift for Special Occasions | Realistic Design | Eco-Friendly | Baby Safe | for Boys & Girls,Sponsored,0,1215,1215,https://m.media-amazon.com/images/I/61GmTZjJbfL._AC_UL320_.jpg,N/A,TRUE
"VIH-AAN Plush Teddy Bear with Red Scarf, Soft Stuffed Animal Teddy Bear for Size 60 CM (RED)",Sponsored,0,499,499,https://m.media-amazon.com/images/I/314MnCbzApL._AC_UL320_.jpg,N/A,TRUE
"VIH-AAN Plush Teddy Bear with Red Scarf, Soft Stuffed Animal Teddy Bear for Size 60 CM (White)",Sponsored,0,499,499,https://m.media-amazon.com/images/I/21yORfBMq-L._AC_UL320_.jpg,N/A,TRUE
"VIH-AAN Plush Teddy Bear with Red Scarf, Soft Stuffed Animal Teddy Bear for Size 60 CM (Pink)",Sponsored,0,499,499,https://m.media-amazon.com/images/I/219-KRSRn6L._AC_UL320_.jpg,N/A,TRUE
"VIH-AAN Plush Teddy Bear, 50 cm, Neon Green and Cream, Soft Stuffed Animal Green",Sponsored,0,599,599,https://m.media-amazon.com/images/I/61IWxm6DHeL._AC_UL320_.jpg,N/A,TRUE
"NESTA TOYS Newborn Baby Gifts | Baby Shower Gifts | New Born Baby Essentials | Knitted Cotton Swaddle, Lion Animal Soft Toy & Wooden Teether Toy for Boys and Girls 0, 3, 6, 9 & 12 Months",Sponsored,0,2799,2799,https://m.media-amazon.com/images/I/61PSzuHsPeL._AC_UL320_.jpg,N/A,TRUE
Cute White Bunny Soft Toy with Carrot | Fluffy Rabbit Plush for Kids | Adorable Stuffed Animal Toy for Gifting & Playtime | Soft & Huggable Bunny Doll,Sponsored,5,2,188,https://m.media-amazon.com/images/I/31-DvId756L._AC_UL320_.jpg,N/A,TRUE
"HUG 'n' FEEL SOFT TOYS Kangaroo Soft Toys, Baby Toys, Kids Toy, Toy for Girl, Birthday Gift for Girl Plush & Stuffed Toys",Sponsored,3.6,44,462,https://m.media-amazon.com/images/I/51MceuI7nKL._AC_UL320_.jpg,N/A,TRUE
"SHAPZE Rudy Furry Hippo Teddy Bear, Plush/Soft, Huggable, Cozy, Joyful, Toy for Boys, Girls and Kids, Super-Soft, Safe, Great Birthday Gift (Yellow)",Sponsored,4.4,6,749,https://m.media-amazon.com/images/I/519kVpEtQlL._AC_UL320_.jpg,N/A,TRUE
"NOH Creations® Caterpillar Soft Toy | Soft Toy Caterpillar | Stuffed Toys | Animal Soft Toys | Soft Toy for Kids (55 Cm/25"")",Sponsored,4.1,21,299,https://m.media-amazon.com/images/I/41P9b5xGhEL._AC_UL320_.jpg,N/A,TRUE
"Babique Sitting Dog Stuffed Animal Soft Toys for Kids, Boy's and Girl's Room Decor, Birthday Gifts for Kids and Women (45 cm)",Sponsored,3.8,42,399,https://m.media-amazon.com/images/I/61Y96cUeBWL._AC_UL320_.jpg,N/A,TRUE
4AJ BAZAAR Sheep Soft Toy (Multicolour),Sponsored,0,399,399,https://m.media-amazon.com/images/I/31MDrg-L86L._AC_UL320_.jpg,N/A,TRUE
"HOMECUTE Ultra Soft Teddy Bear for Kids, Kid's Toys Panda, Lovable Huggable Cute Soft Teddy Bear, Cute Panda for Baby/Kids (Sky Blue)",Sponsored,0,299,299,https://m.media-amazon.com/images/I/718wLRmdbDL._AC_UL320_.jpg,N/A,TRUE
